id,match_number,group,stage,kickoff,venue,home_team_id,away_team_id,home_score,away_score,completed,status,status_detail,source,details_json
1,1,A,group,2026-06-11T19:00,Mexico City,3,4,2,0,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""Estadio Banorte"", ""venue_city"": ""Mexico City"", ""venue_country"": ""Mexico"", ""attendance"": 80824, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal"", ""minute"": ""9'"", ""team"": ""Mexico"", ""player"": ""Julián Quiñones"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""17'"", ""team"": ""South Africa"", ""player"": ""Teboho Mokoena"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""23'"", ""team"": ""Mexico"", ""player"": ""Brian Gutiérrez"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Red Card"", ""minute"": ""49'"", ""team"": ""South Africa"", ""player"": ""Sphephelo Sithole"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": true}, {""type"": ""Goal - Header"", ""minute"": ""67'"", ""team"": ""Mexico"", ""player"": ""Raúl Jiménez"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""74'"", ""team"": ""South Africa"", ""player"": ""Nkosinathi Sibisi"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Red Card"", ""minute"": ""84'"", ""team"": ""South Africa"", ""player"": ""Themba Zwane"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": true}, {""type"": ""Red Card"", ""minute"": ""90'+2'"", ""team"": ""Mexico"", ""player"": ""César Montes"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": true}], ""goals"": [{""type"": ""Goal"", ""minute"": ""9'"", ""team"": ""Mexico"", ""player"": ""Julián Quiñones"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal - Header"", ""minute"": ""67'"", ""team"": ""Mexico"", ""player"": ""Raúl Jiménez"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
2,2,A,group,2026-06-12T02:00,Guadalajara (Zapopan),2,1,2,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""Estadio Akron"", ""venue_city"": ""Guadalajara"", ""venue_country"": ""Mexico"", ""attendance"": 44985, ""broadcasts"": [""FS1"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal - Header"", ""minute"": ""59'"", ""team"": ""Czechia"", ""player"": ""Ladislav Krejcí"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""67'"", ""team"": ""Korea Republic"", ""player"": ""Hwang In-Beom"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""80'"", ""team"": ""Korea Republic"", ""player"": ""Oh Hyeon-Gyu"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""90'+6'"", ""team"": ""Korea Republic"", ""player"": ""Lee Gi-Hyuk"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}], ""goals"": [{""type"": ""Goal - Header"", ""minute"": ""59'"", ""team"": ""Czechia"", ""player"": ""Ladislav Krejcí"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""67'"", ""team"": ""Korea Republic"", ""player"": ""Hwang In-Beom"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""80'"", ""team"": ""Korea Republic"", ""player"": ""Oh Hyeon-Gyu"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
3,3,B,group,2026-06-12T19:00,Toronto,6,5,1,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""BMO Field"", ""venue_city"": ""Toronto"", ""venue_country"": ""Canada"", ""attendance"": 43002, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Yellow Card"", ""minute"": ""11'"", ""team"": ""Canada"", ""player"": ""Alistair Johnston"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal - Header"", ""minute"": ""21'"", ""team"": ""Bosnia and Herzegovina"", ""player"": ""Jovo Lukic"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""45'"", ""team"": ""Bosnia and Herzegovina"", ""player"": ""Ermedin Demirovic"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""45'+1'"", ""team"": ""Bosnia and Herzegovina"", ""player"": ""Jovo Lukic"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""53'"", ""team"": ""Canada"", ""player"": ""Luc de Fougerolles"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""78'"", ""team"": ""Canada"", ""player"": ""Cyle Larin"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""90'+3'"", ""team"": ""Bosnia and Herzegovina"", ""player"": ""Nikola Katic"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}], ""goals"": [{""type"": ""Goal - Header"", ""minute"": ""21'"", ""team"": ""Bosnia and Herzegovina"", ""player"": ""Jovo Lukic"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""78'"", ""team"": ""Canada"", ""player"": ""Cyle Larin"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
4,4,D,group,2026-06-13T01:00,Los Angeles (Inglewood),16,14,4,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""SoFi Stadium"", ""venue_city"": ""Inglewood, California"", ""venue_country"": ""USA"", ""attendance"": 70492, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Own Goal"", ""minute"": ""7'"", ""team"": ""USA"", ""player"": ""Damián Bobadilla"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": true, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""10'"", ""team"": ""Paraguay"", ""player"": ""Juan Jose Cáceres"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""31'"", ""team"": ""USA"", ""player"": ""Folarin Balogun"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""45'+5'"", ""team"": ""USA"", ""player"": ""Folarin Balogun"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""53'"", ""team"": ""Paraguay"", ""player"": ""Miguel Almirón"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""59'"", ""team"": ""USA"", ""player"": ""Tyler Adams"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""73'"", ""team"": ""Paraguay"", ""player"": ""Maurício"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""79'"", ""team"": ""Paraguay"", ""player"": ""Diego Gómez"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""88'"", ""team"": ""Paraguay"", ""player"": ""Alex Arce"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""90'+3'"", ""team"": ""Paraguay"", ""player"": ""Júnior Alonso"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""90'+8'"", ""team"": ""USA"", ""player"": ""Giovanni Reyna"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}], ""goals"": [{""type"": ""Own Goal"", ""minute"": ""7'"", ""team"": ""USA"", ""player"": ""Damián Bobadilla"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": true, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""31'"", ""team"": ""USA"", ""player"": ""Folarin Balogun"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""45'+5'"", ""team"": ""USA"", ""player"": ""Folarin Balogun"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""73'"", ""team"": ""Paraguay"", ""player"": ""Maurício"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""90'+8'"", ""team"": ""USA"", ""player"": ""Giovanni Reyna"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
5,5,C,group,2026-06-14T01:00,Boston (Foxborough),10,12,0,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""Gillette Stadium"", ""venue_city"": ""Foxborough, Massachusetts"", ""venue_country"": ""USA"", ""attendance"": 64146, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal"", ""minute"": ""28'"", ""team"": ""Scotland"", ""player"": ""John McGinn"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""39'"", ""team"": ""Haiti"", ""player"": ""Jean-Ricner Bellegarde"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""46'"", ""team"": ""Scotland"", ""player"": ""Aaron Hickey"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""90'+1'"", ""team"": ""Scotland"", ""player"": ""Findlay Curtis"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""90'+5'"", ""team"": ""Scotland"", ""player"": ""Kenny McLean"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}], ""goals"": [{""type"": ""Goal"", ""minute"": ""28'"", ""team"": ""Scotland"", ""player"": ""John McGinn"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
6,6,D,group,2026-06-14T04:00,Vancouver,13,15,2,0,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""BC Place"", ""venue_city"": ""Vancouver"", ""venue_country"": ""Canada"", ""attendance"": 52497, ""broadcasts"": [""FS1"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal"", ""minute"": ""27'"", ""team"": ""Australia"", ""player"": ""Nestory Irankunda"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""75'"", ""team"": ""Australia"", ""player"": ""Connor Metcalfe"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""86'"", ""team"": ""Türkiye"", ""player"": ""Yunus Akgün"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}], ""goals"": [{""type"": ""Goal"", ""minute"": ""27'"", ""team"": ""Australia"", ""player"": ""Nestory Irankunda"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""75'"", ""team"": ""Australia"", ""player"": ""Connor Metcalfe"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
7,7,C,group,2026-06-13T22:00,New York/New Jersey (East Rutherford),9,11,1,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""MetLife Stadium"", ""venue_city"": ""East Rutherford, New Jersey"", ""venue_country"": ""USA"", ""attendance"": 80663, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal"", ""minute"": ""21'"", ""team"": ""Morocco"", ""player"": ""Ismael Saibari"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""32'"", ""team"": ""Brazil"", ""player"": ""Vinícius Júnior"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""37'"", ""team"": ""Brazil"", ""player"": ""Casemiro"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""43'"", ""team"": ""Brazil"", ""player"": ""Roger Ibañez"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}], ""goals"": [{""type"": ""Goal"", ""minute"": ""21'"", ""team"": ""Morocco"", ""player"": ""Ismael Saibari"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""32'"", ""team"": ""Brazil"", ""player"": ""Vinícius Júnior"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
8,8,B,group,2026-06-13T19:00,San Francisco Bay Area (Santa Clara),7,8,1,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""Levi's Stadium"", ""venue_city"": ""Santa Clara, California"", ""venue_country"": ""USA"", ""attendance"": 67966, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Yellow Card"", ""minute"": ""16'"", ""team"": ""Qatar"", ""player"": ""Mahmoud Abunada"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Penalty - Scored"", ""minute"": ""17'"", ""team"": ""Switzerland"", ""player"": ""Breel Embolo"", ""scoring_play"": true, ""penalty"": true, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""23'"", ""team"": ""Qatar"", ""player"": ""Jassem Gaber"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""42'"", ""team"": ""Switzerland"", ""player"": ""Denis Zakaria"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Own Goal"", ""minute"": ""90'+4'"", ""team"": ""Qatar"", ""player"": ""Miro Muheim"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": true, ""yellow_card"": false, ""red_card"": false}], ""goals"": [{""type"": ""Penalty - Scored"", ""minute"": ""17'"", ""team"": ""Switzerland"", ""player"": ""Breel Embolo"", ""scoring_play"": true, ""penalty"": true, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Own Goal"", ""minute"": ""90'+4'"", ""team"": ""Qatar"", ""player"": ""Miro Muheim"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": true, ""yellow_card"": false, ""red_card"": false}]}"
9,9,E,group,2026-06-14T17:00,Houston,20,17,7,1,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""NRG Stadium"", ""venue_city"": ""Houston, Texas"", ""venue_country"": ""USA"", ""attendance"": 68021, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal"", ""minute"": ""6'"", ""team"": ""Germany"", ""player"": ""Felix Nmecha"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""21'"", ""team"": ""Curaçao"", ""player"": ""Livano Comenencia"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal - Header"", ""minute"": ""38'"", ""team"": ""Germany"", ""player"": ""Nico Schlotterbeck"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Penalty - Scored"", ""minute"": ""45'+5'"", ""team"": ""Germany"", ""player"": ""Kai Havertz"", ""scoring_play"": true, ""penalty"": true, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""47'"", ""team"": ""Germany"", ""player"": ""Jamal Musiala"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal - Volley"", ""minute"": ""68'"", ""team"": ""Germany"", ""player"": ""Nathaniel Brown"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""78'"", ""team"": ""Germany"", ""player"": ""Deniz Undav"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""88'"", ""team"": ""Germany"", ""player"": ""Kai Havertz"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}], ""goals"": [{""type"": ""Goal"", ""minute"": ""6'"", ""team"": ""Germany"", ""player"": ""Felix Nmecha"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""21'"", ""team"": ""Curaçao"", ""player"": ""Livano Comenencia"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal - Header"", ""minute"": ""38'"", ""team"": ""Germany"", ""player"": ""Nico Schlotterbeck"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Penalty - Scored"", ""minute"": ""45'+5'"", ""team"": ""Germany"", ""player"": ""Kai Havertz"", ""scoring_play"": true, ""penalty"": true, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""47'"", ""team"": ""Germany"", ""player"": ""Jamal Musiala"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal - Volley"", ""minute"": ""68'"", ""team"": ""Germany"", ""player"": ""Nathaniel Brown"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""78'"", ""team"": ""Germany"", ""player"": ""Deniz Undav"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""88'"", ""team"": ""Germany"", ""player"": ""Kai Havertz"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
10,10,F,group,2026-06-14T20:00,Dallas (Arlington),22,21,2,2,true,post,FT,ESPN scoreboard result; openfootball fixture; FIFA schedule cross-check,"{""venue_full_name"": ""AT&T Stadium"", ""venue_city"": ""Arlington, Texas"", ""venue_country"": ""USA"", ""attendance"": 69285, ""broadcasts"": [""FOX"", ""Peacock"", ""Tele""], ""events"": [{""type"": ""Goal - Header"", ""minute"": ""51'"", ""team"": ""Netherlands"", ""player"": ""Virgil van Dijk"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""57'"", ""team"": ""Japan"", ""player"": ""Keito Nakamura"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""61'"", ""team"": ""Netherlands"", ""player"": ""Crysencio Summerville"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""64'"", ""team"": ""Netherlands"", ""player"": ""Crysencio Summerville"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""83'"", ""team"": ""Netherlands"", ""player"": ""Memphis Depay"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}, {""type"": ""Goal - Header"", ""minute"": ""89'"", ""team"": ""Japan"", ""player"": ""Daichi Kamada"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Yellow Card"", ""minute"": ""90'+1'"", ""team"": ""Netherlands"", ""player"": ""Micky van de Ven"", ""scoring_play"": false, ""penalty"": false, ""own_goal"": false, ""yellow_card"": true, ""red_card"": false}], ""goals"": [{""type"": ""Goal - Header"", ""minute"": ""51'"", ""team"": ""Netherlands"", ""player"": ""Virgil van Dijk"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""57'"", ""team"": ""Japan"", ""player"": ""Keito Nakamura"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal"", ""minute"": ""64'"", ""team"": ""Netherlands"", ""player"": ""Crysencio Summerville"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}, {""type"": ""Goal - Header"", ""minute"": ""89'"", ""team"": ""Japan"", ""player"": ""Daichi Kamada"", ""scoring_play"": true, ""penalty"": false, ""own_goal"": false, ""yellow_card"": false, ""red_card"": false}]}"
