id,name,code,group,rating,rating_source
1,Czechia,CZE,A,1821.2,custom Elo from martj42 results through 2026-06-10
2,Korea Republic,KOR,A,1886.6,custom Elo from martj42 results through 2026-06-10
3,Mexico,MEX,A,1953.1,custom Elo from martj42 results through 2026-06-10
4,South Africa,RSA,A,1683.9,custom Elo from martj42 results through 2026-06-10
5,Bosnia and Herzegovina,BIH,B,1650.6,custom Elo from martj42 results through 2026-06-10
6,Canada,CAN,B,1899.7,custom Elo from martj42 results through 2026-06-10
7,Qatar,QAT,B,1608.4,custom Elo from martj42 results through 2026-06-10
8,Switzerland,SUI,B,1963.9,custom Elo from martj42 results through 2026-06-10
9,Brazil,BRA,C,2101.5,custom Elo from martj42 results through 2026-06-10
10,Haiti,HAI,C,1664.4,custom Elo from martj42 results through 2026-06-10
11,Morocco,MAR,C,1983.1,custom Elo from martj42 results through 2026-06-10
12,Scotland,SCO,C,1818.0,custom Elo from martj42 results through 2026-06-10
13,Australia,AUS,D,1893.1,custom Elo from martj42 results through 2026-06-10
14,Paraguay,PAR,D,1831.4,custom Elo from martj42 results through 2026-06-10
15,Türkiye,TUR,D,1907.9,custom Elo from martj42 results through 2026-06-10
16,USA,USA,D,1908.4,custom Elo from martj42 results through 2026-06-10
17,Curaçao,CUW,E,1570.8,custom Elo from martj42 results through 2026-06-10
18,Côte d'Ivoire,CIV,E,1822.5,custom Elo from martj42 results through 2026-06-10
19,Ecuador,ECU,E,1966.8,custom Elo from martj42 results through 2026-06-10
20,Germany,GER,E,2049.0,custom Elo from martj42 results through 2026-06-10
21,Japan,JPN,F,2019.7,custom Elo from martj42 results through 2026-06-10
22,Netherlands,NED,F,2042.2,custom Elo from martj42 results through 2026-06-10
23,Sweden,SWE,F,1802.0,custom Elo from martj42 results through 2026-06-10
24,Tunisia,TUN,F,1753.4,custom Elo from martj42 results through 2026-06-10
25,Belgium,BEL,G,2019.0,custom Elo from martj42 results through 2026-06-10
26,Egypt,EGY,G,1795.3,custom Elo from martj42 results through 2026-06-10
27,IR Iran,IRN,G,1918.1,custom Elo from martj42 results through 2026-06-10
28,New Zealand,NZL,G,1722.5,custom Elo from martj42 results through 2026-06-10
29,Cabo Verde,CPV,H,1624.7,custom Elo from martj42 results through 2026-06-10
30,Saudi Arabia,KSA,H,1696.2,custom Elo from martj42 results through 2026-06-10
31,Spain,ESP,H,2179.3,custom Elo from martj42 results through 2026-06-10
32,Uruguay,URU,H,1953.3,custom Elo from martj42 results through 2026-06-10
33,France,FRA,I,2114.8,custom Elo from martj42 results through 2026-06-10
34,Iraq,IRQ,I,1719.7,custom Elo from martj42 results through 2026-06-10
35,Norway,NOR,I,1945.5,custom Elo from martj42 results through 2026-06-10
36,Senegal,SEN,I,1887.4,custom Elo from martj42 results through 2026-06-10
37,Algeria,ALG,J,1907.2,custom Elo from martj42 results through 2026-06-10
38,Argentina,ARG,J,2172.8,custom Elo from martj42 results through 2026-06-10
39,Austria,AUT,J,1929.7,custom Elo from martj42 results through 2026-06-10
40,Jordan,JOR,J,1736.4,custom Elo from martj42 results through 2026-06-10
41,Colombia,COL,K,2060.5,custom Elo from martj42 results through 2026-06-10
42,Congo DR,COD,K,1698.4,custom Elo from martj42 results through 2026-06-10
43,Portugal,POR,K,2068.6,custom Elo from martj42 results through 2026-06-10
44,Uzbekistan,UZB,K,1808.8,custom Elo from martj42 results through 2026-06-10
45,Croatia,CRO,L,1970.8,custom Elo from martj42 results through 2026-06-10
46,England,ENG,L,2077.7,custom Elo from martj42 results through 2026-06-10
47,Ghana,GHA,L,1639.0,custom Elo from martj42 results through 2026-06-10
48,Panama,PAN,L,1778.7,custom Elo from martj42 results through 2026-06-10
